Date : 2025-01-12 13:47:58
Directory : /Users/tianqiyin/Desktop/LeetCode/leetcode_practice
Total : 159 files,  3357 codes, 2790 comments, 1122 blanks, all 7269 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        151 |      3,290 |      2,790 |      1,113 |      7,193 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/IPO.js                                                       | JavaScript |         49 |         27 |         11 |         87 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/Insert-delete-getRandom.js                                   | JavaScript |          4 |         32 |          7 |         43 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/LRU-cache.js                                                 | JavaScript |         53 |         37 |          9 |         99 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/README.md                                                    | Markdown   |         10 |          0 |          8 |         18 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/ZigZag-conversion.js                                         | JavaScript |         18 |         22 |          6 |         46 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/add-binary.js                                                | JavaScript |         20 |         11 |          8 |         39 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/add-two-numbers.js                                           | JavaScript |         39 |         14 |         15 |         68 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/average-of-levels-in-binary-tree.js                          | JavaScript |         19 |         18 |          5 |         42 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/basic-calculator.js                                          | JavaScript |         39 |         22 |          6 |         67 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/best-time-buy-and-sell-stock3.js                             | JavaScript |         13 |         18 |          6 |         37 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/best-time-buy-and-sell-stock4.js                             | JavaScript |         24 |         13 |          7 |         44 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/best-time-buy-sell-stock.js                                  | JavaScript |         14 |         11 |          6 |         31 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/best-time-buy-sell-stock2.js                                 | JavaScript |         11 |         10 |          5 |         26 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/binary-search-tree-iterator.js                               | JavaScript |         21 |         39 |          8 |         68 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/binary-tree-level-order-traversal.js                         | JavaScript |         17 |         20 |          7 |         44 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/binary-tree-maximum-path-sum.js                              | JavaScript |         13 |         18 |          7 |         38 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/binary-tree-right-side-view.js                               | JavaScript |         16 |         22 |         14 |         52 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/binary-tree-zigzag-level-order-traversal.js                  | JavaScript |         19 |         20 |          7 |         46 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/bitwise-and-of-numbers-range.js                              | JavaScript |         10 |         14 |          6 |         30 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/climbing-stairs.js                                           | JavaScript |          9 |         17 |          6 |         32 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/clone-graph.js                                               | JavaScript |         16 |         25 |          9 |         50 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/coin-change.js                                               | JavaScript |         12 |         15 |          7 |         34 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/combination-sum.js                                           | JavaScript |         19 |         18 |          7 |         44 |
